"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2021","51.50","52.00","52.00","51.00","312.62K","-0.77%"
"Dec 27, 2021","51.90","53.00","53.10","51.70","642.10K","-0.38%"
"Dec 24, 2021","52.10","52.00","52.50","51.90","173.08K","3.17%"
"Dec 22, 2021","50.50","50.70","51.40","50.00","391.96K","-0.39%"
"Dec 21, 2021","50.70","50.40","50.70","49.40","777.41K","0.40%"
"Dec 20, 2021","50.50","51.90","52.00","50.40","438.22K","-2.70%"
"Dec 17, 2021","51.90","53.00","53.00","51.70","835.01K","-1.89%"
"Dec 16, 2021","52.90","52.70","53.40","52.50","1.33M","1.15%"
"Dec 15, 2021","52.30","51.40","53.30","50.00","1.33M","1.95%"
"Dec 14, 2021","51.30","51.20","52.00","51.00","821.31K","-0.39%"
"Dec 13, 2021","51.50","51.60","52.50","51.10","685.95K","-0.19%"
"Dec 10, 2021","51.60","52.00","53.50","51.10","662.40K","-0.39%"
"Dec 09, 2021","51.80","50.70","53.50","50.10","1.11M","2.57%"
"Dec 08, 2021","50.50","50.60","50.70","50.00","784.84K","-0.20%"
"Dec 07, 2021","50.60","50.20","51.90","50.00","924.48K","0.60%"
"Dec 06, 2021","50.30","51.30","51.30","49.50","620.44K","-0.59%"
"Dec 03, 2021","50.60","51.50","51.50","50.00","828.36K","-1.17%"
"Dec 02, 2021","51.20","52.30","52.50","51.00","747.48K","-1.35%"
"Dec 01, 2021","51.90","52.80","53.50","51.10","1.23M","-1.70%"
"Nov 30, 2021","52.80","54.90","56.00","51.50","3.06M","-3.12%"
"Nov 29, 2021","54.50","50.00","54.50","50.00","4.70M","11.68%"
"Nov 26, 2021","48.80","48.00","49.40","47.80","1.13M","1.88%"
"Nov 25, 2021","47.90","47.20","48.50","46.80","1.10M","1.48%"
"Nov 24, 2021","47.20","48.70","48.70","46.90","1.15M","-1.67%"
"Nov 23, 2021","48.00","49.40","49.40","47.90","1.11M","-2.64%"
"Nov 22, 2021","49.30","49.70","50.20","49.20","517.41K","-0.80%"
"Nov 19, 2021","49.70","49.10","51.40","48.70","1.90M","1.84%"
"Nov 17, 2021","48.80","47.90","49.30","46.60","1.28M","2.95%"
"Nov 16, 2021","47.40","48.30","48.30","46.30","934.14K","-2.07%"
"Nov 15, 2021","48.40","47.70","49.50","47.50","752.40K","-1.22%"
"Nov 12, 2021","49.00","48.90","49.50","47.70","930.41K","0.20%"
"Nov 11, 2021","48.90","49.00","49.50","48.50","1.10M","0.82%"
"Nov 10, 2021","48.50","49.00","49.00","46.50","2.48M","-2.41%"
"Nov 09, 2021","49.70","51.00","51.10","49.20","2.36M","-3.12%"
"Nov 08, 2021","51.30","52.00","52.40","51.00","1.23M","-1.54%"
"Nov 05, 2021","52.10","52.50","52.50","51.60","997.17K","-0.57%"
"Nov 03, 2021","52.40","52.70","53.40","52.20","1.02M","-2.06%"
"Nov 02, 2021","53.50","52.90","53.50","52.30","847.33K","0.94%"
"Nov 01, 2021","53.00","54.50","54.50","52.80","671.71K","-2.03%"
"Oct 29, 2021","54.10","53.70","54.50","53.00","968.31K","0.74%"
"Oct 28, 2021","53.70","54.30","54.40","53.50","441.74K","-1.47%"
"Oct 27, 2021","54.50","53.90","54.70","52.90","1.70M","1.49%"
"Oct 26, 2021","53.70","53.00","54.00","52.10","5.32M","0.94%"
"Oct 25, 2021","53.20","54.00","54.00","52.70","2.83M","-1.85%"
"Oct 22, 2021","54.20","53.00","54.70","53.00","1.21M","2.26%"
"Oct 21, 2021","53.00","54.50","54.50","52.80","1.96M","-2.75%"
"Oct 18, 2021","54.50","53.70","54.50","52.90","1.29M","1.49%"
"Oct 15, 2021","53.70","54.30","54.30","53.00","852.13K","-0.56%"
"Oct 14, 2021","54.00","54.00","54.20","53.80","499.63K","0.75%"
"Oct 13, 2021","53.60","54.00","54.00","53.00","1.39M","-0.74%"
"Oct 12, 2021","54.00","54.70","54.70","53.90","985.98K","-1.46%"
"Oct 11, 2021","54.80","54.50","55.50","54.20","295.52K","-1.26%"
"Oct 08, 2021","55.50","54.60","55.50","54.10","1.05M","0.54%"
"Oct 07, 2021","55.20","55.80","55.90","54.80","809.39K","-1.08%"
"Oct 06, 2021","55.80","54.70","56.00","52.80","2.43M","2.76%"
"Oct 05, 2021","54.30","55.90","55.90","53.90","3.68M","-2.51%"
"Oct 04, 2021","55.70","56.60","56.70","55.10","3.41M","-1.76%"
"Oct 01, 2021","56.70","58.60","58.60","56.40","3.39M","-3.74%"
"Sep 30, 2021","58.90","59.90","59.90","58.10","1.17M","1.20%"
"Sep 29, 2021","58.20","59.50","59.50","58.20","1.01M","-0.34%"
"Sep 28, 2021","58.40","59.00","60.00","58.00","1.66M","0.00%"
"Sep 27, 2021","58.40","57.60","59.00","57.60","1.59M","1.57%"
"Sep 24, 2021","57.50","57.00","57.90","56.80","688.99K","1.05%"
"Sep 23, 2021","56.90","56.70","57.30","56.70","491.64K","0.35%"
"Sep 22, 2021","56.70","56.50","57.60","56.40","663.02K","0.18%"
