"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2020","5.28","5.28","5.34","5.22","13.39K","0.00%"
"Nov 20, 2020","5.28","5.28","5.28","5.11","210.65K","1.12%"
"Nov 19, 2020","5.22","5.46","5.46","5.22","108.29K","-1.11%"
"Nov 18, 2020","5.28","5.63","5.63","5.22","893.02K","-5.26%"
"Nov 17, 2020","5.57","5.46","5.69","5.46","67.61K","3.26%"
"Nov 16, 2020","5.40","5.46","5.57","5.40","36.50K","-3.16%"
"Nov 13, 2020","5.57","5.75","5.75","5.46","82.21K","0.00%"
"Nov 12, 2020","5.57","5.63","5.63","5.46","171.20K","0.00%"
"Nov 11, 2020","5.57","5.69","5.69","5.57","78.14K","-1.04%"
"Nov 10, 2020","5.63","5.87","5.87","5.52","160.75K","1.05%"
"Nov 09, 2020","5.57","5.93","5.93","5.52","457.27K","-4.04%"
"Nov 06, 2020","5.81","5.87","5.93","5.69","541.75K","0.00%"
"Nov 05, 2020","5.81","5.87","5.87","5.69","570.94K","-1.00%"
"Nov 04, 2020","5.87","5.87","5.87","5.75","502.12K","2.04%"
"Nov 03, 2020","5.75","5.93","6.04","5.75","1.10M","-2.97%"
"Nov 02, 2020","5.93","5.57","6.04","5.46","1.36M","6.32%"
"Oct 29, 2020","5.57","5.46","5.69","5.34","598.24K","2.15%"
"Oct 28, 2020","5.46","5.57","5.87","5.22","1.16M","1.09%"
"Oct 27, 2020","5.40","5.46","5.69","5.28","241.72K","-1.08%"
"Oct 26, 2020","5.46","5.57","5.75","5.28","478.39K","-3.13%"
"Oct 23, 2020","5.63","6.10","6.40","5.57","1.05M","-4.00%"
"Oct 22, 2020","5.87","5.28","6.45","4.93","3.36M","12.36%"
"Oct 21, 2020","5.22","6.81","6.81","5.16","5.06M","-21.93%"
"Oct 20, 2020","6.69","6.69","7.34","6.40","17.09M","4.59%"
"Oct 19, 2020","6.40","4.46","6.40","4.46","11.25M","45.33%"
"Oct 16, 2020","4.40","4.11","4.40","4.11","743.23K","7.14%"
"Oct 15, 2020","4.11","4.40","4.40","4.11","309.24K","-6.67%"
"Oct 14, 2020","4.40","4.58","4.58","4.34","118.65K","-2.60%"
"Oct 13, 2020","4.52","4.64","4.64","4.40","191.77K","-2.53%"
"Oct 12, 2020","4.64","4.52","4.64","4.46","255.34K","2.60%"
"Oct 09, 2020","4.52","4.64","4.69","4.46","247.35K","-1.28%"
"Oct 08, 2020","4.58","4.34","4.69","4.34","260.37K","5.41%"
"Oct 07, 2020","4.34","3.99","4.40","3.99","99.41K","8.82%"
"Oct 06, 2020","3.99","4.11","4.46","3.93","178.66K","-4.23%"
"Oct 05, 2020","4.17","4.64","4.64","3.93","459.01K","-13.41%"
"Oct 02, 2020","4.81","4.99","4.99","4.81","115.41K","-2.38%"
"Sep 30, 2020","4.93","4.93","4.99","4.81","60.96K","0.00%"
"Sep 29, 2020","4.93","5.11","5.11","4.87","405.08K","-2.33%"
"Sep 28, 2020","5.05","5.05","5.28","5.05","1.15M","1.18%"
"Sep 25, 2020","4.99","4.99","5.05","4.81","913.12K","0.00%"
"Sep 24, 2020","4.99","4.69","5.05","4.64","1.25M","6.25%"
"Sep 23, 2020","4.69","4.75","4.75","4.58","86.43K","0.00%"
"Sep 22, 2020","4.69","4.69","4.75","4.64","167.48K","0.00%"
"Sep 21, 2020","4.69","4.58","4.75","4.52","297.00K","2.56%"
"Sep 18, 2020","4.58","4.40","4.64","4.40","386.31K","2.63%"
"Sep 17, 2020","4.46","4.52","4.52","4.34","238.09K","-1.30%"
"Sep 16, 2020","4.52","4.46","4.58","4.46","225.71K","1.32%"
"Sep 15, 2020","4.46","4.52","4.52","4.40","186.88K","0.00%"
"Sep 14, 2020","4.46","4.46","4.52","4.40","231.05K","-1.30%"
"Sep 11, 2020","4.52","4.58","4.64","4.40","348.00K","-1.28%"
"Sep 10, 2020","4.58","4.75","4.81","4.46","883.12K","-2.50%"
"Sep 09, 2020","4.69","4.58","5.05","4.46","2.36M","5.26%"
"Sep 08, 2020","4.46","3.99","4.52","3.99","3.11M","11.76%"
"Sep 07, 2020","3.99","3.93","4.05","3.93","218.26K","1.49%"
"Sep 04, 2020","3.93","3.99","3.99","3.87","82.41K","-1.47%"
"Sep 03, 2020","3.99","3.81","4.05","3.81","184.32K","4.62%"
"Sep 02, 2020","3.81","3.81","3.81","3.76","38.09K","-1.52%"
"Aug 31, 2020","3.87","3.87","3.87","3.76","7.84K","-1.49%"
"Aug 28, 2020","3.93","3.87","3.93","3.70","14.37K","1.52%"
"Aug 27, 2020","3.87","3.81","3.87","3.64","40.47K","1.54%"
"Aug 26, 2020","3.81","3.81","3.81","3.70","18.12K","0.00%"
"Aug 25, 2020","3.81","3.87","3.87","3.76","20.17K","-1.52%"
"Aug 24, 2020","3.87","3.93","3.99","3.76","48.87K","0.00%"
"Aug 21, 2020","3.87","3.81","3.99","3.81","34.88K","-2.94%"
"Aug 20, 2020","3.99","3.99","3.99","3.87","4.41K","1.49%"
"Aug 19, 2020","3.93","3.93","3.99","3.81","23.32K","1.52%"
"Aug 18, 2020","3.87","3.99","3.99","3.70","57.94K","-1.49%"
"Aug 17, 2020","3.93","3.99","4.11","3.81","28.42K","0.00%"
"Aug 14, 2020","3.93","3.76","4.11","3.76","177.27K","3.08%"
"Aug 13, 2020","3.81","3.76","3.93","3.70","31.54K","1.56%"
"Aug 12, 2020","3.76","3.99","3.99","3.70","326.55K","-5.88%"
"Aug 11, 2020","3.99","4.23","4.28","3.99","422.59K","-5.56%"
"Aug 10, 2020","4.23","3.64","4.34","3.64","1.82M","12.50%"
"Aug 07, 2020","3.76","3.81","3.81","3.58","118.94K","1.59%"
"Aug 06, 2020","3.70","3.40","3.81","3.40","640.57K","10.53%"
"Aug 05, 2020","3.34","3.34","3.46","3.34","50.84K","-3.39%"
"Aug 04, 2020","3.46","3.40","3.52","3.40","19.37K","1.72%"
"Jul 31, 2020","3.40","3.52","3.58","3.40","72.43K","-3.33%"
"Jul 30, 2020","3.52","3.58","3.76","3.46","464.48K","0.00%"
"Jul 29, 2020","3.52","3.29","3.76","3.23","750.84K","5.26%"
"Jul 28, 2020","3.34","3.34","3.40","3.29","91.06K","-1.72%"
"Jul 27, 2020","3.40","3.29","3.46","3.23","306.17K","3.57%"
"Jul 24, 2020","3.29","3.29","3.34","3.29","19.44K","0.00%"
"Jul 23, 2020","3.29","3.23","3.29","3.17","9.27K","1.82%"
"Jul 22, 2020","3.23","3.23","3.23","3.23","6.17K","0.00%"
"Jul 21, 2020","3.23","3.29","3.29","3.23","5.33K","-1.79%"
"Jul 20, 2020","3.29","3.29","3.29","3.23","30.80K","0.00%"
"Jul 17, 2020","3.29","3.29","3.29","3.17","16.64K","0.00%"
"Jul 16, 2020","3.29","3.23","3.29","3.11","18.38K","1.82%"
"Jul 15, 2020","3.23","3.34","3.34","3.11","90.13K","-8.33%"
"Jul 14, 2020","3.52","3.52","3.52","3.52","0.09K","5.26%"
"Jul 13, 2020","3.34","3.34","3.34","3.34","1.96K","-1.72%"
"Jul 10, 2020","3.40","3.46","3.46","3.40","2.56K","0.00%"
"Jul 09, 2020","3.40","3.46","3.52","3.40","46.70K","1.75%"
"Jul 08, 2020","3.34","3.34","3.64","3.29","14.03K","-3.39%"
"Jul 07, 2020","3.46","3.46","3.46","3.46","0.17K","3.51%"
"Jul 06, 2020","3.34","3.46","3.46","3.34","5.30K","0.00%"
"Jul 03, 2020","3.34","3.34","3.34","3.34","2.04K","-1.72%"
"Jul 01, 2020","3.40","3.52","3.52","3.34","14.57K","0.00%"
"Jun 30, 2020","3.40","3.52","3.52","3.40","5.11K","-3.33%"
"Jun 29, 2020","3.52","3.52","3.52","3.46","5.26K","1.69%"
"Jun 26, 2020","3.46","3.52","3.64","3.46","8.01K","-3.28%"
"Jun 25, 2020","3.58","3.46","3.64","3.46","19.55K","7.02%"
"Jun 24, 2020","3.34","3.34","3.46","3.34","7.01K","3.64%"
"Jun 23, 2020","3.23","3.34","3.34","3.23","30.04K","-5.17%"
"Jun 22, 2020","3.40","3.23","3.40","3.23","23.33K","1.75%"
"Jun 19, 2020","3.34","3.40","3.40","3.34","4.63K","-1.72%"
"Jun 18, 2020","3.40","3.40","3.40","3.40","0.43K","3.57%"
"Jun 17, 2020","3.29","3.29","3.29","3.29","138.21K","-5.08%"
"Jun 16, 2020","3.46","3.46","3.46","3.46","0.02K","3.51%"
"Jun 15, 2020","3.34","3.34","3.34","3.29","3.06K","0.00%"
"Jun 12, 2020","3.34","3.34","3.34","3.34","7.68K","0.00%"
"Jun 11, 2020","3.34","3.52","3.52","3.34","0.47K","-5.00%"
"Jun 10, 2020","3.52","3.40","3.52","3.29","6.30K","1.69%"
